Data,Z1,Z2
150,0.661752,-0.311445
151,0.914359,0.158842
152,1.46104,0.268557
153,-0.360543,-0.930257
154,-1.39477,-0.540347
155,-0.557825,1.04684
156,-0.797069,-0.572776
157,-2.28681,0.503642
158,0.760087,0.415329
159,-0.93807,1.52675
160,-1.72273,-0.479072
161,-1.86562,-2.414
162,-0.366877,-1.43052
163,-1.02955,2.12561
164,0.487475,-1.22659
165,-0.916654,-1.24275
166,0.78904,-0.597979
167,-0.342815,0.57637
168,-1.31363,-0.425754
169,-1.47104,-0.839148
170,1.01622,1.50096
171,0.824351,-1.52895
172,0.813509,-0.434845
173,0.737298,-0.310557
174,-1.51188,-1.20462
175,1.00635,1.58998
176,1.72837,3.73026
177,-2.48638,0.724937
178,1.38397,-0.0390214
179,-0.616751,-1.20602
180,1.21427,0.559864
181,0.160363,0.0946231
182,-0.931729,0.23216
183,-1.08611,-0.0113509
184,0.716364,0.200619
185,-0.130834,0.0788486
186,0.14934,-0.183987
187,-0.0560386,-0.450601
188,-1.19046,1.14111
189,-0.472819,0.00965712
190,0.181921,-0.141586
191,0.183128,0.169276
192,-1.02397,-1.64035
193,-0.283291,0.0257924
194,1.03223,-1.07347
195,0.76425,-0.0396032
196,-0.117671,-0.736477
197,0.342667,-0.0878644
198,-0.63653,1.49733
199,-0.99216,0.0968579
200,-1.53523,-0.402608
201,-0.661709,0.68014
202,-0.0786169,1.21039
203,0.235132,-0.951234
204,0.803237,0.644918
205,-0.529304,-0.0354241
206,-0.455727,-0.0159547
207,-1.34395,-0.488606
208,1.03877,-1.19963
209,-1.292,1.21862
210,-2.11247,-0.972765
211,0.220089,0.195147
212,-0.861241,-1.2909
213,-1.12236,0.607842
214,-0.669326,-1.24857
215,-0.634543,-1.09244
216,0.430243,-1.28431
217,-1.87692,0.450127
218,-0.274812,-0.0159585
219,1.62506,1.02126
220,-0.045672,0.855182
221,-0.604409,1.44014
222,0.773488,0.493991
223,-1.67051,-0.530818
224,-0.856367,0.227037
225,-1.49774,0.999342
226,-1.10999,0.483534
227,-0.430947,-0.0855087
228,0.245086,-0.575757
229,-0.323479,0.24267
230,-1.2533,0.899167
231,-0.113388,0.0158325
232,-1.49581,0.60938
233,1.06013,1.05815
234,-1.58121,0.680525
235,-0.438024,-0.839385
236,0.729176,0.636619
237,0.350514,-0.58893
238,-2.47319,-0.207014
239,-1.90481,-0.476562
240,1.31438,0.280372
241,0.152363,0.0924018
242,0.971634,0.402041
243,2.08336,-0.107959
244,-1.04563,1.52824
245,0.143612,1.02386
246,1.32022,1.67783
247,1.77307,0.273452
248,0.397177,0.11082
249,0.938856,-1.04717
250,-0.335425,-0.661527
251,1.05862,1.7152
252,0.20796,1.02818
253,0.142413,1.05652
254,2.16601,-0.333203
255,1.95915,-0.612007
256,0.266448,1.20514
257,0.22364,-0.482429
258,-0.866557,0.518849
259,0.895141,1.11763
260,-0.237532,-1.28086
261,-0.495054,2.35117
262,-1.00982,0.377467
263,-0.210421,-0.806319
264,-0.552648,1.36422
265,0.771252,-0.698784
266,0.166871,-0.540462
267,-1.15648,1.07209
268,-0.0973873,0.000961757
269,-2.39961,0.146735
270,1.22466,1.52365
271,0.970361,-1.90785
272,0.141422,-0.451579
273,-2.66244,-0.0543793
274,1.76249,-0.624556
275,0.91355,1.20173
276,0.214995,-0.269489
277,-0.151196,-0.0994232
278,0.937072,-1.04477
279,0.810688,-0.97447
280,0.482348,0.825491
281,-0.148853,-0.342826
282,-0.71215,0.349877
283,0.2551,-0.0213281
284,-0.639396,0.511257
285,0.949109,0.586102
286,-0.247023,2.53666
287,-0.840392,0.382507
288,0.32876,-0.36401
289,0.980651,1.69092
290,-0.14623,-1.32961
291,-0.663081,1.69252
292,0.0406499,1.09932
293,-0.861873,0.169296
294,1.09385,1.19446
295,-0.966281,1.26278
296,1.50315,-1.33848
297,-0.142541,-0.80563
298,-0.612017,0.643471
299,0.469816,0.299163
300,2.21117,-0.373212
301,-0.637581,-0.381086
302,-0.69773,1.74152
303,0.873483,-0.566379
304,0.321356,-0.171537
305,-2.22229,-1.35853
306,-2.14549,-1.4369
307,-0.433639,-1.46659
308,0.865675,0.397326
309,0.519908,0.579215
310,0.209818,2.04287
311,0.0610099,0.978467
312,0.200615,1.12819
313,1.90468,0.108591
314,-0.0975752,-1.95364
315,1.60394,-1.44987
316,2.06135,1.01691
317,-0.117503,1.05907
318,0.782371,0.437101
319,0.771313,-0.76575
320,0.325291,0.010795
321,1.47799,-0.787483
322,0.222933,1.1033
323,0.20352,-0.672866
324,-0.822764,1.30796
325,-0.486653,0.767096
326,-2.06162,-0.90138
327,-1.73508,1.89648
328,-0.294878,-0.0724549
329,-0.00767461,-2.3202
330,0.350382,0.208196
331,-0.0305859,0.42892
332,-1.09811,0.711883
333,0.0971672,-1.12894
334,-0.658975,0.996807
335,0.737114,0.326075
336,0.635461,-1.25356
337,-0.381695,0.710385
338,-0.40399,1.64451
339,1.94053,0.916922
340,1.23388,0.101017
341,1.20308,0.00392186
342,0.81717,0.249092
343,0.41205,0.0266642
344,1.56302,-0.846691
345,1.28279,-0.316632
346,-1.8144,-0.0290536
347,-1.63983,0.51312
348,-0.196795,-0.705706
349,-0.49921,-0.975716
350,1.03103,-0.333178
351,1.37438,-0.449084
352,1.08977,-1.03799
353,-1.13435,-0.733525
354,-0.929072,-0.729251
355,-0.409618,-0.568695
356,0.137042,0.12556
357,0.5036,-1.25384
358,0.0309185,2.52915
359,-2.32357,0.162221
360,-0.273063,0.676667
361,2.3961,1.80508
362,0.135107,-0.793282
363,-1.01328,-1.16004
364,0.384208,-0.706106
365,0.375108,1.08846
366,0.500087,-0.0957933
367,-0.792304,1.00394
368,-0.72887,-0.41745
369,-0.00899239,-0.570113
370,0.1507,0.712671
371,0.159503,-0.0733565
372,0.4987,-0.466149
373,0.969405,-0.976916
374,-0.576239,-0.0499025
375,0.450324,-1.40946
376,-0.128686,-0.13411
377,-0.741564,-2.08095
378,-0.315319,0.00371867
379,-1.28282,-0.653312
380,1.84352,-1.3816
381,-0.00507783,-0.446919
382,0.306299,-0.823151
383,1.1506,0.86887
384,-1.15269,0.927132
385,-0.120931,-0.478389
386,-0.742517,-0.172211
387,0.639735,1.90845
388,1.57262,-2.2213
389,-0.288279,0.53925
390,0.839492,0.530947
391,0.150526,1.65947
392,1.46607,-1.12396
393,0.307678,-0.0972805
394,0.778861,1.89387
395,0.164041,1.87644
396,-0.527091,0.299339
397,-1.11701,-0.714741
398,-0.539255,1.00501
399,-0.95141,-0.867512
400,2.02398,-0.967773
401,1.42098,-1.08292
402,-1.14104,0.192703
403,-0.039329,1.1067
404,1.99025,0.206824
405,1.9272,-0.402987
406,0.0138957,0.781228
407,0.945173,0.0969388
408,-0.453238,0.509934
409,-0.815924,0.624657
410,-1.17786,0.60613
411,-0.658157,0.383515
412,-1.09137,0.734265
413,-0.991166,0.268071
414,1.30051,-0.0773978
415,-0.85289,-0.368815
416,0.197646,0.155352
417,0.0205691,-0.029315
418,-0.909435,-0.337363
419,2.34585,0.746158
420,2.60275,-0.784659
421,0.915371,-0.977131
422,-0.772537,0.508215
423,1.40469,-0.914273
424,-0.763671,-0.956672
425,-1.51643,0.0446476
426,2.29251,-0.478
427,-0.276394,0.307627
428,-0.739563,-0.0563378
429,0.544988,1.14953
430,2.94106,-0.722353
431,-1.7981,0.335682
432,-0.0212708,1.51427
433,0.63737,-0.787398
434,1.50995,0.57815
435,-0.25277,0.927709
436,1.67554,-0.871806
437,0.192761,0.0273111
438,-0.0398519,0.367546
439,0.839193,-1.12301
440,0.637496,-1.57932
441,-0.254051,1.37582
442,0.892609,-0.806559
443,-0.24202,0.134029
444,0.80931,1.07526
445,-0.746501,2.06223
446,0.0120949,1.02142
447,-1.20329,1.72864
448,0.0427163,0.54122
449,-1.82886,-1.33938
450,1.01578,0.954235
451,2.21045,1.44234
452,0.780278,0.0706637
453,1.89705,-0.685783
454,1.14498,-0.59408
455,-1.00975,-0.621548
456,-0.994846,-0.377753
457,1.02233,-0.217051
458,-0.653867,-1.18567
459,-1.27941,-1.08646
460,-0.69863,-0.553151
461,-0.172226,-1.42499
462,0.618735,-1.33204
463,-0.122094,0.27327
464,-0.412569,-0.290516
465,-0.00671073,-0.491151
466,0.550182,-0.530927
467,-1.23617,-0.60028
468,-0.0516314,0.80688
469,-0.361839,0.839959
470,1.33601,-0.00153708
471,-0.0911106,0.499851
472,-0.321485,1.01798
473,-0.325787,-0.212535
474,-0.200824,0.183326
475,-0.22696,0.560563
476,0.248662,0.688794
477,-0.578536,1.17943
478,-0.157494,-1.39031
479,0.0813405,1.38127
480,-0.819473,-1.28679
481,-0.975511,-0.712415
482,-1.622,-0.979216
483,-0.549824,0.00458632
484,0.25931,-2.32295
485,-0.949072,-0.631152
486,0.108431,-0.945041
487,1.13312,1.32032
488,-0.802005,2.30921
489,-1.17908,-1.22878
490,0.0207087,-0.488933
491,1.084,-1.72582
492,-0.284062,0.381428
493,-1.24801,-0.342164
494,-0.0178296,0.423841
495,-0.371157,0.59129
496,-0.238805,-0.413684
497,-0.0814129,-0.323102
498,-0.0346947,-1.09454
499,1.40404,-0.938189
500,0.380168,-0.59157
501,-0.726404,-1.0008
502,-0.188415,1.08799
503,1.55769,0.497106
504,0.356843,-0.769384
505,-0.565612,-0.488206
506,-0.552782,0.918529
507,0.993655,0.705555
508,0.228937,-1.3288
509,1.79745,0.896167
510,1.38996,0.00959527
511,0.187635,-0.398534
512,1.32615,-0.932873
513,-0.990801,-0.0506763
514,0.434918,2.40829
515,-0.181852,-0.999851
516,1.77468,1.39492
517,-0.719207,0.616701
518,-1.45847,0.222499
519,0.405673,1.24577
520,0.61571,1.80684
521,0.0983777,-0.638901
522,-1.50369,-1.02809
523,0.212088,0.597873
524,-0.431001,-0.154733
525,-1.12693,0.412646
526,1.08121,0.249561
527,-1.18752,-0.0133216
528,0.82135,-1.83598
529,0.766662,-0.396853
530,-1.30904,1.25141
531,-0.374907,0.317255
532,-0.780259,-0.904059
533,-1.14719,1.29269
534,-1.08146,1.74883
535,-0.422668,-1.24778
536,1.78192,0.213198
537,-0.767069,-1.09747
538,0.419601,0.183409
539,1.42929,0.661664
540,-0.2546,1.37584
541,-0.881636,-1.26863
542,0.969765,0.125091
543,-0.440864,0.175674
544,0.85472,1.19606
545,0.477177,0.0494951
546,0.00946272,0.0276646
547,-1.03489,0.0408013
548,0.0773201,0.0415781
549,-2.10193,1.00678
550,2.69562,-0.192611
551,0.145277,0.458334
552,0.1415,0.656099
553,-0.0655995,-0.525013
554,-0.488411,0.126483
555,0.422573,0.351996
556,0.645651,1.34318
557,0.154842,-0.519469
558,-0.591142,1.14779
559,-0.816191,-0.26505
560,2.37343,0.981006
561,-1.96866,-1.35265
562,-1.75299,1.20743
563,-1.19215,0.958492
564,0.302697,-1.93134
565,-0.755531,1.38442
566,0.691322,-1.31157
567,-2.62433,-0.688218
568,0.470012,1.4868
569,1.18512,0.399604
570,0.344067,-1.12661
571,0.0834947,-0.301758
572,0.023185,0.466904
573,-0.41989,-1.02239
574,0.611659,0.982155
575,0.13405,1.46844
576,0.00710238,0.689078
577,0.411412,-0.571995
578,-0.404218,-0.266471
579,0.614755,-1.10695
580,1.3962,-1.14723
581,-0.238261,0.316874
582,-0.573377,-0.835271
583,-1.05173,1.50168
584,1.15318,-0.0748453
585,0.0187922,-0.0249776
586,-1.27036,-0.236656
587,-0.62655,2.21557
588,-0.132116,0.200515
589,-1.28086,0.078324
590,-0.540625,-1.65965
591,0.733321,0.0475952
592,0.759508,0.376132
593,2.63354,-0.574978
594,-0.60107,0.798752
595,-0.634424,-0.31669
596,-1.71581,-0.423687
597,1.0355,-0.396942
598,0.19933,-0.678691
599,-0.510154,-0.994753
600,-0.241355,0.471734
601,0.478243,1.05489
602,-0.352769,-0.587451
603,0.949031,0.902208
604,-0.969338,1.11923
605,-0.0554636,0.0938227
606,0.150921,0.479329
607,2.04504,2.04122
608,-0.398018,-1.04294
609,0.0527776,-0.725419
610,-0.914113,0.738709
611,2.14387,0.385575
612,1.45222,-1.00624
613,-0.242716,0.487226
614,0.208029,1.42352
615,-0.644413,-0.650278
616,0.393963,-1.08282
617,-0.611405,-0.114991
618,1.31717,-1.08186
619,-0.0881765,-1.08665
620,-0.315362,0.642598
621,0.927747,-0.302555
622,0.264399,0.316949
623,0.187467,0.480274
624,0.243027,0.482622
625,-0.339856,0.951384
626,-0.188223,-0.306606
627,0.41062,-0.44052
628,-1.06481,1.167
629,0.911405,1.00874
630,-0.383363,-1.18381
631,1.8118,-0.258475
632,1.255,0.0505639
633,-1.67954,0.569728
634,-0.583521,-2.02044
635,0.130002,0.301066
636,-1.75387,0.0290935
637,-0.307606,1.45814
638,-0.131494,0.259704
639,0.415203,-1.12705
640,-1.25359,-1.45192
641,-1.35845,-0.347629
642,-1.13384,0.102793
643,-0.428714,-0.716095
644,-0.523544,-0.597057
645,2.29847,0.56406
646,2.25591,-2.49298
647,0.44089,-1.21688
648,-0.699165,-0.559267
649,0.0341963,0.0728862
650,-1.03353,-0.236784
651,-0.200079,-0.845894
652,-0.559945,-0.182905
653,1.00052,1.05214
654,0.24549,0.0486369
655,0.091521,0.195751
656,-0.212869,0.282653
657,0.548336,-0.327672
658,-0.751935,-1.52331
659,-1.53638,0.025191
660,1.2308,-1.51991
661,-0.439373,0.494144
662,-0.565748,0.385218
663,3.10151,2.52561
664,-1.66467,-0.172506
665,-0.367344,1.71364
666,0.566366,-0.628787
667,-2.00823,1.48262
668,-0.992502,-1.42933
669,0.0109183,-0.751621
670,1.00862,0.957021
671,0.127057,-2.20073
672,0.37931,-0.301212
673,1.94101,0.0208438
674,-0.520434,-0.964158
675,-0.616769,-0.42867
676,0.0652392,-1.00891
677,-0.270827,-1.68674
678,0.578518,0.710782
679,-1.21051,0.513845
680,1.17825,-0.0363868
681,-0.0552825,1.78733
682,-0.622468,0.716496
683,0.320619,-1.97867
684,-0.979319,-0.849564
685,-2.18101,-0.185506
686,0.865972,1.53838
687,0.394154,-0.54579
688,0.00768463,0.176628
689,0.538736,0.55983
690,-0.65862,-0.870703
691,1.48413,-0.41134
692,0.064019,-0.815111
693,-1.13591,-1.25601
694,0.444613,0.934568
695,-0.713585,-0.0419875
696,0.450739,-2.12152
697,0.953442,1.4094
698,0.832078,2.01665e-08
699,-1.1028,0.309182
700,1.82777,-0.0234835
701,-3.46577,0.135309
702,-1.55883,-0.941892
703,0.0111685,0.345031
704,0.886896,-0.426792
705,0.870406,-0.0213679
706,-1.30316,-1.84332
707,0.154121,-0.0335562
708,0.484712,0.392549
709,0.615341,0.758992
710,0.593865,0.0844896
711,0.890722,-1.23539
712,0.292552,1.82541
713,0.175787,1.91753
714,0.477423,1.00602
715,0.0362272,-0.582805
716,-0.0128448,0.274052
717,0.414782,0.389949
718,0.00192863,-0.484711
719,0.337657,-0.465674
720,0.512685,0.635105
721,-0.454862,1.13912
722,-0.0805471,-0.595395
723,1.71498,0.310816
724,2.29157,-0.163741
725,-0.800099,0.207528
726,-0.724515,-2.21264
727,-1.78111,1.27629
728,-0.904636,0.735939
729,-0.0453318,-0.0180939
730,1.19108,-1.38086
731,-0.631241,1.08197
732,1.2637,-1.66034
733,0.364591,-1.41765
734,0.422296,0.417965
735,-0.110072,0.302807
736,0.330137,-0.368791
737,-0.84769,0.592063
738,1.114,0.268858
739,0.452778,1.20547
740,-0.542414,-0.934241
741,-0.0299118,-0.0162961
742,0.953955,-0.789991
743,0.569769,0.870733
744,0.281091,1.05677
745,-0.661399,-0.747882
746,-0.550444,-1.49814
747,0.518708,-2.50518
748,-2.31721,2.11857
749,-1.91997,0.0370047
750,-0.681497,0.612365
751,-0.992789,-0.865931
752,1.16162,0.00490047
753,1.23512,-1.54636
754,0.327594,-0.0315686
755,0.122104,-0.803225
756,-1.01304,-0.750902
757,0.603076,-0.429439
758,0.515869,0.160389
759,0.352118,-1.4855
760,-0.82117,-0.457023
761,1.59696,0.27837
762,1.5336,1.45458
763,-0.41626,1.68192
764,-0.618034,-1.85967
765,-1.01461,0.296247
766,-1.7887,-0.492616
767,0.06206,-0.678394
768,-0.465844,0.042413
769,0.782624,0.874933
770,-1.02821,1.53288
771,1.31991,-0.166656
772,-1.82806,-0.958528
773,0.563595,-0.684101
774,-0.504449,-0.0924735
775,-0.0379618,1.21229
776,-2.1551,-0.210387
777,1.48266,-0.0278651
778,-0.701095,-0.10971
779,0.0967894,1.72239
780,1.50506,0.432409
781,-0.375697,-2.22264
782,0.926804,0.502051
783,-0.639585,0.807876
784,-1.22737,0.605929
785,0.145714,0.407785
786,-0.688365,0.612362
787,-0.726166,-0.168418
788,0.72973,-1.50037
789,-1.19675,-0.354165
790,-0.679081,-2.86366
791,-0.993629,0.310916
792,0.012614,1.50356
793,0.440039,0.394107
794,-0.825903,1.24567
795,0.777955,-0.958816
796,0.496091,0.890863
797,1.39387,-2.42587
798,1.14201,0.429754
799,0.0527541,0.357161
800,0.200691,1.14516
801,1.42585,1.54386
802,1.57654,-0.0671527
803,-0.434029,1.07734
804,0.13818,0.165192
805,-0.613027,1.03519
806,0.440444,0.475066
807,1.02385,-2.32199
808,-0.179572,0.191062
809,1.57738,-1.18262
810,0.191099,0.534796
811,0.713983,-1.66136
812,-0.804554,0.218262
813,-1.4978,0.951931
814,-0.0719251,2.12737
815,1.59509,0.781198
816,-0.973183,-2.24488
817,0.0495427,-0.234291
818,0.313383,-0.912756
819,0.987826,-0.393296
820,2.93358,0.510778
821,-1.33315,-0.0915334
822,-0.254514,-0.159913
823,0.601571,-0.151181
824,2.62809,-0.894018
825,-0.969754,0.550239
826,0.970669,0.04377
827,1.35488,-1.57198
828,0.382801,0.138964
829,0.344883,-1.0421
830,-0.331743,1.32301
831,0.85331,0.455069
832,0.8301,1.4833
833,-1.40845,1.51421
834,-0.108968,0.258253
835,-0.961495,0.307961
836,0.266723,-0.69232
837,0.518141,-0.429586
838,-0.366073,1.28227
839,-0.659598,2.14872
840,-0.155912,-0.224901
841,0.475282,-0.176881
842,1.13019,1.29764
843,-2.82217,0.663672
844,1.57712,-0.0844553
845,-0.285114,-0.849738
846,-0.167349,-2.05744
847,-0.417565,-0.103025
848,-0.211324,-0.580309
849,0.84413,0.698497
850,1.25912,0.168065
851,0.6933,-0.575483
852,0.00918856,-1.26934
853,-0.722672,0.252427
854,1.10061,-0.153141
855,-0.402979,-0.646107
856,0.402098,-0.343786
857,-1.64573,-0.587625
858,-0.884122,0.0229769
859,-1.14092,0.789726
860,-0.262272,0.724099
861,0.109666,-1.09459
862,-0.295771,2.96647
863,-0.48402,0.0436935
864,1.49727,0.740064
865,0.980359,-1.30096
866,-1.6523,-0.420803
867,0.5517,-0.197647
868,0.549921,1.57316
869,1.07374,-0.432757
870,1.69984,0.244832
871,1.66321,-0.701688
872,0.902319,-0.628289
873,0.182916,-1.31691
874,-0.45601,-1.01177
875,-2.31524,1.1166
876,0.812016,1.49918
877,-0.155975,2.04365
878,0.0140557,-0.467487
879,-0.787295,1.90244
880,0.796706,0.162613
881,-0.153133,-0.440915
882,-0.142919,-1.00976
883,-0.514868,-0.254917
884,-0.543337,-1.21048
885,-1.96259,-0.419234
886,-2.4237,-1.46257
887,-0.248241,-0.537522
888,0.840772,-0.376372
889,0.309017,0.656675
890,1.87254,1.33394
891,0.484298,-0.571582
892,0.586051,0.083378
893,-0.177309,-0.307698
894,-0.574817,0.310168
895,-0.902941,0.671978
896,-0.752053,1.18997
897,-1.10691,-1.0171
898,0.960654,-2.3182
899,-0.643803,-0.620437
900,1.24342,0.593666
901,-2.14825,1.02239
902,-0.250259,-1.71826
903,0.00947294,-0.729133
904,-0.233033,0.561278
905,0.879454,0.303128
906,1.31856,0.700267
907,0.0508139,0.47416
908,-0.199949,-0.414029
909,-0.254512,0.703519
910,1.93979,-0.691994
911,-0.273365,-2.62445
912,1.25843,-0.587846
913,1.27761,0.872972
914,-1.23437,-0.124806
915,-1.75967,0.475195
916,-0.181653,-0.32321
917,-0.721225,0.0726429
918,-2.38718,-0.424373
919,1.28227,-0.603784
920,-0.495074,-0.390594
921,2.08495,-0.277074
922,1.54613,0.104518
923,2.50305,-1.78962
924,-1.94145,0.407716
925,1.82609,-0.306417
926,-0.7395,-0.505811
927,-1.89536,-0.55459
928,2.16437,0.406423
929,-0.227457,-2.16757
930,0.735384,1.54043
931,-0.558583,-0.353207
932,-1.00142,1.27696
933,0.712426,-1.14739
934,0.125331,0.743635
935,-0.306047,-0.0873887
936,-0.11745,-1.02105
937,-1.13819,0.097908
938,-2.52422,0.481767
939,-0.499386,-1.07537
940,-0.404272,0.544148
941,-1.45212,-0.611154
942,-0.302762,0.404268
943,0.857448,-0.457909
944,-0.362874,2.00606
945,1.71436,-1.43305
946,1.09773,-0.947321
947,-0.657724,2.34468
948,-0.459073,-1.80293
949,-1.34476,-0.358727
950,-0.364385,0.74285
951,1.13426,0.806048
952,1.06342,0.631605
953,-0.901493,-1.5798
954,-0.370503,0.632546
955,-1.76284,0.379746
956,0.740487,0.267685
957,-0.633609,-1.52527
958,0.471755,0.10499
959,-2.01369,0.82667
960,0.706822,-0.858623
961,-0.388709,1.28025
962,-0.906852,-0.59882
963,0.124638,1.68193
964,1.33188,1.44711
965,1.18093,2.33181
966,-0.0956157,-1.02039
967,0.680088,-0.531818
968,-0.832993,-1.44364
969,0.0326305,-0.0920967
970,2.42907,-1.44903
971,1.5841,-1.98875
972,0.40902,0.950739
973,-0.0760103,0.217777
974,-0.792501,0.404752
975,0.168024,-0.897879
976,-0.299277,-0.28588
977,-0.364477,-0.966158
978,0.0316186,1.25129
979,1.76278,1.46322
980,1.19148,-0.252723
981,-1.71461,0.210315
982,0.986965,-0.753954
983,-0.450135,-0.692389
984,0.412325,1.39402
985,0.0960283,-0.00429326
986,0.645469,0.340896
987,0.188673,-0.90164
988,-0.342899,0.417112
989,-0.471475,0.736286
990,-1.46989,1.18551
991,-0.756431,0.821087
992,0.333184,1.09927
993,-1.85969,0.748905
994,0.776303,-0.469575
995,0.116346,1.62937
996,-0.865924,-0.979906
997,0.211591,-0.0259745
998,0.327622,-0.266997
999,0.427515,0.72145
1000,-0.0875536,0.463198
1001,0.279291,-2.29423
1002,-0.781142,0.810638
1003,2.50708,2.60925
1004,-1.0471,1.9065
1005,-0.456162,0.917017
1006,1.34223,0.158764
1007,0.877149,-0.0616611
1008,0.739684,1.17364
1009,1.05062,1.47198
1010,0.392631,-0.260619
1011,0.350746,1.83726
1012,0.022884,-1.51532
1013,-1.6962,-1.35307
1014,-1.59356,-0.8893
1015,0.153723,-0.179118
1016,-0.486784,0.146294
1017,-0.114275,-1.11367
1018,0.650907,0.945684
1019,-0.0430555,0.0534097
1020,0.2887,0.234725
1021,1.16363,-0.0200837
1022,-0.15123,-0.98152
1023,-1.1397,0.720358
1024,1.03162,0.652735
1025,-0.820783,1.71045
1026,1.71053,-1.1373
1027,-1.24754,-0.348988
1028,-0.0457789,0.885891
1029,-0.31227,0.609185
1030,-0.222472,-1.52747
1031,-1.18151,0.00260539
1032,-1.25028,1.04126
1033,0.323251,0.642857
1034,-0.191618,-0.755576
1035,1.24944,1.549
1036,1.29838,0.851828
1037,1.19629,-0.365158
1038,-1.11429,0.853423
1039,3.08442,0.275755
1040,0.015054,-0.672326
1041,1.41494,-0.534631
1042,0.748863,0.461255
1043,0.230878,1.05481
1044,-1.42121,-0.34892
1045,0.0810161,-1.52522
1046,1.39352,1.23894
1047,-0.023255,-1.08024
1048,2.01484,-0.254793
1049,-0.174845,-0.536402
1050,-1.49977,1.32136
1051,2.0258,-0.2546
1052,0.451293,1.09378
1053,-0.0193848,1.52584
1054,-0.79481,-0.00495333
1055,-1.16575,0.658792
1056,0.317457,1.09959
1057,0.853891,0.980407
1058,0.0464318,1.35412
