Data,U1,U2
148,0.770696,0.0180364
149,0.165201,0.663533
150,0.765324,0.929991
151,0.650092,0.0273751
152,0.331746,0.0289316
153,0.607937,0.691153
154,0.326709,0.558824
155,0.494841,0.327921
156,0.617735,0.59917
157,0.0644689,0.465499
158,0.68721,0.0795923
159,0.200794,0.337687
160,0.202167,0.543168
161,0.00952381,0.645283
162,0.33605,0.710044
163,0.0614774,0.321787
164,0.418498,0.810205
165,0.30351,0.648854
166,0.612576,0.896786
167,0.798626,0.335398
168,0.385409,0.549883
169,0.238339,0.582507
170,0.193437,0.155278
171,0.221215,0.8287
172,0.65348,0.921873
173,0.726129,0.936552
174,0.154365,0.607074
175,0.170269,0.160192
176,0.00021368,0.180944
177,0.0349512,0.454848
178,0.383486,0.995514
179,0.399542,0.674764
180,0.409035,0.0687582
181,0.982814,0.0848415
182,0.630647,0.461135
183,0.554396,0.501663
184,0.758272,0.0434584
185,0.9884,0.413678
186,0.972314,0.858516
187,0.902045,0.730308
188,0.256746,0.378368
189,0.8942,0.49675
190,0.973779,0.894742
191,0.969383,0.118748
192,0.154182,0.661184
193,0.960348,0.485549
194,0.329915,0.871883
195,0.746154,0.99176
196,0.757204,0.724784
197,0.939347,0.960051
198,0.266178,0.313974
199,0.608425,0.484512
200,0.283791,0.540819
201,0.637485,0.372814
202,0.479212,0.260323
203,0.618742,0.788568
204,0.588278,0.107669
205,0.868742,0.510636
206,0.901252,0.50557
207,0.359707,0.555498
208,0.283913,0.863582
209,0.206563,0.37965
210,0.0669109,0.568682
211,0.957662,0.115452
212,0.299969,0.656362
213,0.442827,0.421003
214,0.366606,0.671682
215,0.450214,0.66625
216,0.399603,0.801447
217,0.15525,0.462539
218,0.962821,0.509232
219,0.158516,0.0892972
220,0.69301,0.258492
221,0.29533,0.313242
222,0.656288,0.0904569
223,0.215201,0.548967
224,0.675397,0.458754
225,0.197711,0.406354
226,0.480495,0.434614
227,0.907998,0.531175
228,0.822192,0.814051
229,0.92149,0.397565
230,0.304335,0.400952
231,0.993468,0.47792
232,0.271337,0.438429
233,0.325702,0.124851
234,0.227259,0.435316
235,0.638767,0.673452
236,0.625946,0.114231
237,0.79069,0.835444
238,0.0459707,0.513291
239,0.145482,0.539018
240,0.405311,0.0334483
241,0.984249,0.0867641
242,0.575305,0.0624409
243,0.113492,0.99176
244,0.180067,0.3455
245,0.585989,0.227821
246,0.102381,0.143895
247,0.200031,0.0243538
248,0.918498,0.0433058
249,0.371948,0.866329
250,0.759524,0.675314
251,0.131166,0.161992
252,0.576832,0.218238
253,0.566514,0.228675
254,0.0905983,0.975707
255,0.121673,0.951811
256,0.46688,0.215369
257,0.868162,0.819086
258,0.600458,0.414136
259,0.35873,0.142521
260,0.428053,0.720817
261,0.0557692,0.283029
262,0.55928,0.443068
263,0.706654,0.709372
264,0.338492,0.311258
265,0.581838,0.882839
266,0.852167,0.797662
267,0.2884,0.381024
268,0.995269,0.498428
269,0.0555861,0.49028
270,0.147985,0.142247
271,0.10119,0.824885
272,0.894078,0.798303
273,0.0288462,0.50325
274,0.174084,0.945799
275,0.320024,0.14655
276,0.942308,0.857173
277,0.983761,0.592578
278,0.373504,0.866359
279,0.447802,0.860439
280,0.63315,0.165838
281,0.93254,0.684805
282,0.729945,0.42732
283,0.967766,0.986724
284,0.715263,0.392651
285,0.536783,0.0880459
286,0.0388584,0.26545
287,0.65293,0.43202
288,0.886661,0.866909
289,0.148016,0.166356
290,0.408761,0.732566
291,0.191636,0.309427
292,0.546032,0.244118
293,0.679945,0.469131
294,0.269383,0.131993
295,0.282479,0.353954
296,0.131929,0.884213
297,0.715568,0.722129
298,0.674145,0.371014
299,0.856319,0.0902432
300,0.0809219,0.973388
301,0.758913,0.585742
302,0.17207,0.310648
303,0.581654,0.908444
304,0.935806,0.921964
305,0.0336386,0.587329
306,0.0356532,0.593921
307,0.310531,0.704245
308,0.635317,0.0684835
309,0.738675,0.13358
310,0.121398,0.233711
311,0.618437,0.240089
312,0.518651,0.221992
313,0.162057,0.009064
314,0.147619,0.742058
315,0.0965812,0.883023
316,0.0712454,0.0729392
317,0.566819,0.267586
318,0.669261,0.0810877
319,0.553968,0.875576
320,0.948413,0.00527971
321,0.246032,0.922086
322,0.530739,0.218268
323,0.781074,0.796747
324,0.303053,0.339366
325,0.661905,0.339976
326,0.0795482,0.5656
327,0.0367521,0.367931
328,0.954945,0.538347
329,0.0677656,0.749474
330,0.920299,0.0853298
331,0.911691,0.26133
332,0.424725,0.40846
333,0.526252,0.763665
334,0.489713,0.342967
335,0.72265,0.0662862
336,0.372466,0.824671
337,0.722405,0.328471
338,0.2384,0.288339
339,0.099939,0.0702536
340,0.464713,0.0130009
341,0.484951,0.00051882
342,0.694261,0.0470901
343,0.918284,0.0102847
344,0.205983,0.920988
345,0.417735,0.961486
346,0.192735,0.502548
347,0.22851,0.451735
348,0.764621,0.706717
349,0.548474,0.674734
350,0.555983,0.950255
351,0.351587,0.949736
352,0.322222,0.878872
353,0.401557,0.591357
354,0.497833,0.605914
355,0.782234,0.650655
356,0.982875,0.118046
357,0.401374,0.810785
358,0.040812,0.248054
359,0.0663614,0.488907
360,0.76627,0.311045
361,0.0111111,0.102756
362,0.723413,0.776849
363,0.305372,0.635731
364,0.723901,0.82931
365,0.515446,0.19718
366,0.878419,0.969878
367,0.441392,0.356334
368,0.702747,0.582781
369,0.849969,0.74749
370,0.766972,0.216834
371,0.984707,0.931394
372,0.792155,0.880367
373,0.387882,0.874386
374,0.845971,0.513749
375,0.334646,0.799219
376,0.982875,0.628285
377,0.087149,0.695517
378,0.951496,0.498123
379,0.354792,0.574969
380,0.0703907,0.897641
381,0.904945,0.748192
382,0.679976,0.806696
383,0.353663,0.102939
384,0.334829,0.392193
385,0.885379,0.710593
386,0.747894,0.536271
387,0.131899,0.198523
388,0.0246337,0.848048
389,0.829487,0.328135
390,0.610592,0.0897549
391,0.249512,0.235603
392,0.181532,0.895901
393,0.949267,0.951262
394,0.122863,0.187902
395,0.169658,0.236122
396,0.832173,0.417798
397,0.415079,0.590594
398,0.521825,0.328379
399,0.436538,0.617664
400,0.0807387,0.929014
401,0.202717,0.896359
402,0.511935,0.473373
403,0.541636,0.255654
404,0.135073,0.01648
405,0.143956,0.967193
406,0.736935,0.247169
407,0.636752,0.0162664
408,0.792369,0.365642
409,0.589805,0.396008
410,0.415873,0.42436
411,0.748169,0.416028
412,0.421001,0.405744
413,0.590293,0.457961
414,0.427991,0.990539
415,0.64939,0.564959
416,0.968895,0.106021
417,0.999359,0.847377
418,0.624725,0.556536
419,0.0483211,0.0490127
420,0.0248474,0.953398
421,0.408059,0.869808
422,0.652106,0.407392
423,0.245482,0.90817
424,0.472741,0.642781
425,0.316392,0.495315
426,0.0644383,0.967284
427,0.91804,0.366497
428,0.759524,0.512101
429,0.445208,0.17954
430,0.0101954,0.961669
431,0.187698,0.470626
432,0.317674,0.252235
433,0.598626,0.858303
434,0.270604,0.0581988
435,0.629853,0.292337
436,0.16801,0.923643
437,0.981227,0.0224006
438,0.933944,0.26719
439,0.374298,0.852138
440,0.234493,0.81106
441,0.375794,0.279061
442,0.484982,0.883053
443,0.962454,0.419507
444,0.404304,0.147313
445,0.0902625,0.305277
446,0.593498,0.248115
447,0.108822,0.346782
448,0.862973,0.237465
449,0.0765873,0.600604
450,0.378632,0.120029
451,0.0307082,0.0920133
452,0.735714,0.0143742
453,0.130739,0.944792
454,0.435195,0.923826
455,0.495116,0.587817
456,0.567674,0.557756
457,0.579182,0.966704
458,0.399847,0.66979
459,0.244475,0.612049
460,0.672314,0.606586
461,0.35696,0.730857
462,0.340079,0.819208
463,0.956197,0.316874
464,0.880464,0.597644
465,0.886355,0.747826
466,0.746551,0.877834
467,0.38898,0.571947
468,0.721184,0.26017
469,0.658211,0.314737
470,0.409646,0.999817
471,0.878907,0.278695
472,0.565629,0.298685
473,0.927137,0.591998
474,0.963706,0.382244
475,0.832875,0.311228
476,0.764805,0.194861
477,0.421948,0.322581
478,0.375733,0.732047
479,0.383944,0.240638
480,0.312332,0.659749
481,0.482112,0.600391
482,0.166148,0.586444
483,0.859707,0.498672
484,0.0651099,0.767693
485,0.522283,0.593402
486,0.636081,0.768181
487,0.220116,0.13712
488,0.0503968,0.303201
489,0.234554,0.628285
490,0.887149,0.756737
491,0.125336,0.839259
492,0.893071,0.351878
493,0.432875,0.542589
494,0.91395,0.256691
495,0.78373,0.339213
496,0.892186,0.666677
497,0.946001,0.710715
498,0.549023,0.744957
499,0.240324,0.906247
500,0.780952,0.840907
501,0.465507,0.650075
502,0.543559,0.277291
503,0.262698,0.0491653
504,0.697924,0.819117
505,0.756441,0.61333
506,0.562912,0.336222
507,0.475885,0.0982696
508,0.4029,0.777154
509,0.133059,0.0736106
510,0.380586,0.00109867
511,0.90754,0.820032
512,0.26862,0.902432
513,0.611325,0.508133
514,0.0500611,0.221564
515,0.596673,0.721366
516,0.0782662,0.106021
517,0.6384,0.387188
518,0.336783,0.475906
519,0.423901,0.199896
520,0.161722,0.197729
521,0.811447,0.774316
522,0.190324,0.595447
523,0.817735,0.195746
524,0.900458,0.554857
525,0.486691,0.444136
526,0.540293,0.0361034
527,0.494017,0.501785
528,0.132295,0.81695
529,0.688919,0.923978
530,0.194017,0.378582
531,0.886386,0.388226
532,0.49014,0.636677
533,0.224573,0.36552
534,0.120757,0.338145
535,0.419872,0.698019
536,0.199817,0.018952
537,0.408028,0.652913
538,0.900458,0.0655843
539,0.289286,0.0690024
540,0.375733,0.279122
541,0.303205,0.65334
542,0.619994,0.0204169
543,0.893498,0.43965
544,0.339408,0.15125
545,0.8913,0.0164495
546,0.999573,0.197546
547,0.58489,0.493728
548,0.996154,0.0785241
549,0.0661477,0.428907
550,0.0259463,0.988647
551,0.890842,0.201148
552,0.798321,0.216193
553,0.869383,0.730216
554,0.880495,0.45967
555,0.859646,0.110538
556,0.329396,0.178686
557,0.86337,0.796106
558,0.434554,0.325694
559,0.691972,0.549974
560,0.0369658,0.0623798
561,0.0576923,0.595813
562,0.103785,0.404004
563,0.310379,0.392224
564,0.147955,0.774743
565,0.288309,0.329508
566,0.333181,0.827204
567,0.0252137,0.540819
568,0.29649,0.20127
569,0.457448,0.0517594
570,0.499664,0.797174
571,0.952167,0.792962
572,0.89649,0.242103
573,0.542918,0.687979
574,0.512027,0.161351
575,0.337179,0.235511
576,0.788645,0.24836
577,0.780189,0.849239
578,0.889408,0.592761
579,0.448596,0.830683
580,0.195391,0.89053
581,0.92442,0.352611
582,0.598565,0.654256
583,0.186264,0.34724
584,0.512882,0.989685
585,0.999512,0.852657
586,0.433913,0.529313
587,0.0706044,0.293863
588,0.971581,0.342723
589,0.43895,0.49028
590,0.217979,0.699881
591,0.76337,0.0103153
592,0.69826,0.0731834
593,0.0264347,0.965789
594,0.606746,0.352672
595,0.777717,0.573687
596,0.209768,0.53853
597,0.54069,0.94174
598,0.778663,0.795465
599,0.535317,0.674581
600,0.869017,0.325266
601,0.511325,0.182257
602,0.790751,0.66393
603,0.424298,0.120975
604,0.334158,0.363598
605,0.994078,0.334971
606,0.88138,0.201453
607,0.0153846,0.124851
608,0.536294,0.691977
609,0.767582,0.761559
610,0.501252,0.391827
611,0.093254,0.0283212
612,0.209982,0.903562
613,0.862302,0.323557
614,0.355281,0.226905
615,0.657662,0.625721
616,0.514866,0.805536
617,0.824054,0.529588
618,0.233944,0.890561
619,0.551954,0.737114
620,0.773993,0.322611
621,0.621184,0.949828
622,0.918346,0.139348
623,0.875549,0.190771
624,0.864164,0.175756
625,0.600305,0.304605
626,0.937332,0.662374
627,0.834158,0.869411
628,0.287118,0.367718
629,0.396886,0.133061
630,0.461081,0.700156
631,0.187363,0.977447
632,0.454396,0.00640889
633,0.207479,0.447951
634,0.109554,0.705252
635,0.94765,0.185125
636,0.214713,0.49736
637,0.329426,0.28309
638,0.958516,0.324595
639,0.486111,0.806177
640,0.158852,0.636647
641,0.374145,0.539872
642,0.523046,0.485611
643,0.705891,0.664144
644,0.729579,0.635426
645,0.0607753,0.0383007
646,0.00351038,0.867061
647,0.432753,0.805322
648,0.66978,0.607379
649,0.996764,0.180181
650,0.569994,0.535844
651,0.685379,0.713034
652,0.84072,0.550249
653,0.348535,0.129002
654,0.96917,0.0311289
655,0.976923,0.180395
656,0.939316,0.352733
657,0.815446,0.914274
658,0.236233,0.677023
659,0.307112,0.497391
660,0.147711,0.858333
661,0.803632,0.365673
662,0.791178,0.404859
663,0.00033578,0.108768
664,0.24649,0.516434
665,0.215293,0.283609
666,0.699023,0.866695
667,0.0443529,0.398785
668,0.220024,0.653401
669,0.753877,0.752312
670,0.380372,0.120823
671,0.0880647,0.759178
672,0.889316,0.893185
673,0.151984,0.00170904
674,0.548687,0.671224
675,0.754212,0.596667
676,0.599847,0.760277
677,0.232418,0.724662
678,0.657082,0.14127
679,0.421184,0.43611
680,0.499176,0.995087
681,0.202137,0.254921
682,0.637363,0.363842
683,0.134127,0.775567
684,0.431532,0.613727
685,0.0911172,0.513504
686,0.210501,0.168401
687,0.797222,0.849544
688,0.984493,0.24308
689,0.739469,0.128056
690,0.551038,0.646931
691,0.305464,0.956969
692,0.715873,0.762474
693,0.23837,0.632984
694,0.585348,0.179327
695,0.774542,0.509354
696,0.0951771,0.783319
697,0.235104,0.155339
698,0.707387,1
699,0.518987,0.456496
700,0.188126,0.997955
701,0.00244201,0.493789
702,0.190415,0.586505
703,0.942155,0.24485
704,0.616087,0.928617
705,0.684524,0.996094
706,0.0782357,0.652058
707,0.987637,0.96588
708,0.82323,0.108341
709,0.620421,0.141575
710,0.835348,0.0224921
711,0.313553,0.849422
712,0.181074,0.224708
713,0.156624,0.23545
714,0.537943,0.179479
715,0.843254,0.75988
716,0.963065,0.257454
717,0.850397,0.12009
718,0.889164,0.750633
719,0.847527,0.849849
720,0.716697,0.141911
721,0.471306,0.310465
722,0.83486,0.728599
723,0.218956,0.0285348
724,0.0714286,0.988647
725,0.710623,0.459609
726,0.066514,0.699637
727,0.0906593,0.401044
728,0.506624,0.391308
729,0.99881,0.560442
730,0.189621,0.863277
731,0.456319,0.334056
732,0.1134,0.853542
733,0.342552,0.790063
734,0.838187,0.12418
735,0.94942,0.30549
736,0.884707,0.866207
737,0.585928,0.402966
738,0.51859,0.0376904
739,0.436447,0.192816
740,0.557937,0.66628
741,0.99942,0.579394
742,0.464377,0.88992
743,0.581929,0.157781
744,0.549969,0.208625
745,0.607509,0.634754
746,0.279792,0.69396
747,0.0379121,0.782495
748,0.00723444,0.382122
749,0.158211,0.496933
750,0.657234,0.383496
751,0.419902,0.614154
752,0.50931,0.000671412
753,0.141087,0.857265
754,0.947283,0.98471
755,0.718895,0.77401
756,0.451557,0.60152
757,0.760287,0.901517
758,0.864225,0.0479751
759,0.311813,0.787042
760,0.64301,0.580828
761,0.268773,0.0274667
762,0.107112,0.120792
763,0.222894,0.288614
764,0.146581,0.698935
765,0.572009,0.454787
766,0.178877,0.542772
767,0.792918,0.764519
768,0.896368,0.485549
769,0.502076,0.133854
770,0.182051,0.344035
771,0.412729,0.98001
772,0.118803,0.576861
773,0.675153,0.859676
774,0.87677,0.528855
775,0.479243,0.254982
776,0.0959097,0.515488
777,0.333028,0.997009
778,0.777411,0.524705
779,0.225824,0.241066
780,0.293437,0.0445265
781,0.0788156,0.72335
782,0.573779,0.0790124
783,0.588095,0.356578
784,0.39188,0.427015
785,0.910501,0.19538
786,0.654151,0.384289
787,0.757418,0.536271
788,0.248626,0.822047
789,0.458944,0.545793
790,0.0131563,0.712943
791,0.581593,0.451735
792,0.322894,0.248665
793,0.839896,0.116245
794,0.327289,0.343181
795,0.466606,0.858486
796,0.594597,0.169134
797,0.0199634,0.833003
798,0.475,0.0572832
799,0.936905,0.226661
800,0.50873,0.222388
801,0.10989,0.131321
802,0.287943,0.993225
803,0.509402,0.310953
804,0.977076,0.139134
805,0.484951,0.335093
806,0.810714,0.131016
807,0.0399573,0.816095
808,0.966209,0.370067
809,0.143223,0.89761
810,0.851068,0.19538
811,0.194963,0.8146
812,0.706471,0.457839
813,0.207051,0.409894
814,0.103785,0.255379
815,0.206532,0.0724815
816,0.0501221,0.684896
817,0.971734,0.783166
818,0.627717,0.802637
819,0.568223,0.939695
820,0.0118742,0.0274361
821,0.409493,0.51091
822,0.95583,0.589282
823,0.825,0.960814
824,0.0212149,0.947813
825,0.537088,0.417859
826,0.623718,0.00717185
827,0.116087,0.863216
828,0.920421,0.0554216
829,0.547466,0.800867
830,0.394475,0.289102
831,0.626496,0.0779748
832,0.235836,0.168798
833,0.117857,0.369243
834,0.961477,0.313547
835,0.600702,0.450667
836,0.759402,0.808527
837,0.797314,0.889828
838,0.41102,0.294259
839,0.0799756,0.297403
840,0.963248,0.653523
841,0.879335,0.943297
842,0.227503,0.13596
843,0.0149573,0.46324
844,0.287302,0.991485
845,0.6692,0.698477
846,0.118773,0.737083
847,0.911661,0.538499
848,0.826374,0.694418
849,0.548687,0.110019
850,0.446276,0.0211188
851,0.666361,0.889737
852,0.446795,0.751152
853,0.746032,0.446516
854,0.539347,0.977996
855,0.748321,0.661245
856,0.869414,0.887417
857,0.217216,0.554582
858,0.676313,0.495865
859,0.381868,0.403638
860,0.743376,0.305307
861,0.546032,0.765893
862,0.0117521,0.265816
863,0.888614,0.485672
864,0.247894,0.0730613
865,0.265324,0.852779
866,0.23373,0.539689
867,0.842216,0.94525
868,0.24942,0.196478
869,0.511661,0.939024
870,0.228846,0.0227668
871,0.196062,0.93646
872,0.546368,0.903195
873,0.413187,0.771966
874,0.540201,0.682608
875,0.0367521,0.42848
876,0.233761,0.170995
877,0.122405,0.262123
878,0.896398,0.754784
879,0.120085,0.312449
880,0.718498,0.0320444
881,0.896795,0.696799
882,0.594505,0.727622
883,0.847863,0.573168
884,0.414683,0.682852
885,0.133486,0.533494
886,0.0181929,0.586413
887,0.839225,0.681143
888,0.654243,0.933012
889,0.768468,0.179998
890,0.0711539,0.0985138
891,0.755311,0.861873
892,0.839286,0.0224921
893,0.938889,0.666799
894,0.807906,0.421247
895,0.530769,0.398175
896,0.371276,0.339702
897,0.323077,0.618274
898,0.0429182,0.812525
899,0.670513,0.622059
900,0.387027,0.0708945
901,0.0590049,0.429304
902,0.221459,0.726981
903,0.766545,0.752068
904,0.83138,0.312632
905,0.648779,0.0528275
906,0.328083,0.0777001
907,0.892521,0.233009
908,0.899695,0.678396
909,0.755891,0.305246
910,0.119933,0.945463
911,0.0307692,0.733482
912,0.381136,0.930448
913,0.302045,0.0954009
914,0.463187,0.516037
915,0.189927,0.458022
916,0.933578,0.668508
917,0.768956,0.484024
918,0.0528999,0.528001
919,0.36627,0.92996
920,0.819689,0.606311
921,0.109493,0.978973
922,0.300977,0.0107425
923,0.00879121,0.901212
924,0.139774,0.467055
925,0.180098,0.97354
926,0.669414,0.595477
927,0.142277,0.545305
928,0.0884921,0.0295419
929,0.0930098,0.73336
930,0.232967,0.179113
931,0.803816,0.58974
932,0.26801,0.355846
933,0.401709,0.838435
934,0.752503,0.223426
935,0.950611,0.544267
936,0.589683,0.731773
937,0.520727,0.486343
938,0.0368132,0.469985
939,0.495147,0.680807
940,0.794719,0.351695
941,0.289072,0.563402
942,0.88025,0.352306
943,0.623474,0.921934
944,0.125183,0.278481
945,0.0823871,0.889187
946,0.349512,0.886685
947,0.0515568,0.293527
948,0.177167,0.710318
949,0.37964,0.54149
950,0.710134,0.322581
951,0.379792,0.0983306
952,0.465385,0.0852992
953,0.191239,0.66747
954,0.764377,0.33433
955,0.196734,0.466231
956,0.733455,0.055208
957,0.255647,0.687338
958,0.889774,0.0348521
959,0.0935592,0.438002
960,0.538797,0.859615
961,0.408578,0.296915
962,0.55406,0.592883
963,0.241178,0.238227
964,0.144567,0.131596
965,0.0328449,0.17539
966,0.591453,0.73513
967,0.688889,0.894375
968,0.249328,0.666707
969,0.995238,0.804193
970,0.018315,0.914396
971,0.0394689,0.857051
972,0.585317,0.185339
973,0.973748,0.303446
974,0.673046,0.424848
975,0.658883,0.779443
976,0.917918,0.621357
977,0.586752,0.692587
978,0.456868,0.245979
979,0.072497,0.110263
980,0.476282,0.966735
981,0.224908,0.480575
982,0.462424,0.896176
983,0.71105,0.658254
984,0.347619,0.20423
985,0.995391,0.992889
986,0.766117,0.0773339
987,0.654243,0.78283
988,0.864347,0.359508
989,0.682357,0.340648
990,0.168132,0.39198
991,0.536233,0.36848
992,0.517002,0.203162
993,0.134035,0.43907
994,0.662607,0.913419
995,0.26337,0.238655
996,0.425275,0.634816
997,0.977534,0.98056
998,0.91456,0.891171
999,0.703541,0.164861
1000,0.894841,0.279733
1001,0.0692002,0.76928
1002,0.530647,0.372051
1003,0.00143468,0.128178
1004,0.093895,0.329936
1005,0.59185,0.323466
1006,0.40116,0.0187384
1007,0.679365,0.98883
1008,0.382021,0.160497
1009,0.194902,0.151341
1010,0.894902,0.906735
1011,0.173901,0.219977
1012,0.317155,0.752403
1013,0.0949939,0.607166
1014,0.189164,0.581011
1015,0.972527,0.86288
1016,0.878816,0.453536
1017,0.534371,0.733726
1018,0.517369,0.154057
1019,0.99765,0.357982
1020,0.93312,0.108646
1021,0.508028,0.997253
1022,0.610714,0.725669
1023,0.402961,0.410291
1024,0.474664,0.0897855
1025,0.165354,0.321207
1026,0.121276,0.906613
1027,0.432112,0.543413
1028,0.674725,0.258217
1029,0.791117,0.325388
1030,0.303816,0.726981
1031,0.497589,0.499649
1032,0.266148,0.389477
1033,0.771917,0.175848
1034,0.738004,0.710471
1035,0.138034,0.141972
1036,0.299481,0.0924101
1037,0.457387,0.952849
1038,0.373443,0.395978
1039,0.00827229,0.0141911
1040,0.797619,0.753563
1041,0.318559,0.942503
1042,0.679243,0.0878628
1043,0.558242,0.215705
1044,0.342735,0.538316
1045,0.311477,0.758446
1046,0.175794,0.115665
1047,0.557814,0.746574
1048,0.127167,0.97998
1049,0.852869,0.69985
1050,0.135653,0.385052
1051,0.12439,0.980102
1052,0.496581,0.187719
1053,0.312149,0.252022
1054,0.729151,0.500992
1055,0.407998,0.418134
1056,0.519475,0.205267
1057,0.429487,0.13596
1058,0.399359,0.244545
1059,0.590324,0.386151
1060,0.613797,0.550951
1061,0.560989,0.812708
1062,0.748199,0.684194
1063,0.355525,0.823725
1064,0.760562,0.47084
1065,0.162454,0.8493
1066,0.710867,0.703238
1067,0.487668,0.827326
1068,0.336874,0.935881
1069,0.415324,0.0521256
1070,0.304976,0.224769
1071,0.750794,0.100986
1072,0.100031,0.914457
1073,0.400183,0.774316
1074,0.732234,0.914731
1075,0.709005,0.971679
1076,0.352106,0.951689
1077,0.727137,0.302805
1078,0.113889,0.644917
1079,0.642277,0.125065
1080,0.818132,0.586505
1081,0.0258852,0.732292
1082,0.644872,0.497116
1083,0.213919,0.718741
1084,0.26804,0.637928
1085,0.205403,0.231269
1086,0.441606,0.589343
1087,0.0465812,0.0279855
1088,0.415263,0.891629
1089,0.884707,0.107181
1090,0.872039,0.505661
1091,0.862363,0.281716
1092,0.119628,0.218299
1093,0.905739,0.576525
1094,0.642125,0.610706
1095,0.34304,0.843379
1096,0.430556,0.654897
1097,0.332418,0.646321
1098,0.426099,0.0303354
1099,0.369719,0.394452
1100,0.497405,0.47969
1101,0.841972,0.013184
1102,0.317125,0.579577
1103,0.79246,0.275735
1104,0.881868,0.813349
1105,0.913767,0.386242
1106,0.882234,0.418714
1107,0.390995,0.643391
1108,0.300519,0.775933
1109,0.725824,0.139897
1110,0.101404,0.719749
1111,0.18199,0.595264
1112,0.332204,0.732383
1113,0.160623,0.703391
1114,0.974725,0.123325
1115,0.726374,0.924711
1116,0.116819,0.656789
1117,0.829701,0.592425
1118,0.0726496,0.268258
1119,0.595635,0.657125
1120,0.582357,0.14713
1121,0.520238,0.490005
1122,0.820543,0.174474
1123,0.653571,0.0262764
1124,0.225977,0.12186
1125,0.974817,0.282113
1126,0.786783,0.760674
1127,0.307021,0.046144
1128,0.985836,0.728965
1129,0.403907,0.454878
1130,0.766941,0.277993
1131,0.385165,0.334788
1132,0.228419,0.499527
1133,0.644505,0.759148
1134,0.937546,0.941099
1135,0.800611,0.346355
